site,date,,bad_leaf_y,kbdi,avg_soil_y,soil_5_y,soil_25_y,soil_60_y,vpd,mean_leaf_y,leaf_y,lfm,mean_lfm,sd_lfm,max_wind,two_week_vpd,two_week_tmax,two_week_soil_5_y
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,101.428988,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,108.1487946,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,104.6724922,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,99.20503975,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,109.0689627,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,117.0525468,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,103.5277178,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,107.3657124,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,102.048866,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,112.7747859,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,109.8044101,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,115.6638105,,,,,,
COOK,1/9/2018,,,,0.012479971,0.012479971,,,0.12,,,96.63876711,,,,,,
